###
# RoG, CIP1,CIP2,CIP3 RoG (remove these lines before starting to cluster)
###
358 10.608374,830.701861,949.909740,1331.853024 10.608374
359 10.571023,851.361631,911.105851,1338.788026 10.571023
360 10.534405,838.496216,846.874910,1317.707072 10.534405
361 10.582990,846.915786,949.343725,1340.831824 10.582990
362 10.587774,867.878311,914.733655,1323.549060 10.587774
363 10.449705,839.681026,929.021849,1335.703126 10.449705
364 9.585834,1115.650431,1262.001210,1563.418811 9.585834
365 9.543402,1155.348847,1285.878318,1590.705613 9.543402
366 10.281093,868.469466,1054.332453,1346.019594 10.281093
367 10.345089,848.934708,1066.984354,1364.436919 10.345089
368 10.325164,844.874085,1113.942222,1373.785795 10.325164
369 10.178852,894.312265,1117.672541,1411.788741 10.178852
370 9.595906,1100.406765,1242.447481,1553.998806 9.595906
371 9.774228,1020.623037,1165.710069,1487.790011 9.774228
372 9.782566,1057.744276,1150.235372,1489.906918 9.782566
373 9.768185,1045.313918,1118.062698,1482.203919 9.768185
374 9.655593,1092.072187,1236.586461,1557.989453 9.655593
375 9.851084,997.459467,1121.470126,1466.066981 9.851084
376 9.552520,1054.625885,1293.697657,1555.040098 9.552520
377 9.421634,1077.164096,1324.951513,1583.084356 9.421634
378 9.473282,1089.039201,1279.008487,1590.448357 9.473282
379 9.547175,1065.417998,1270.556700,1560.347846 9.547175
380 10.283819,952.967687,1014.394658,1402.854355 10.283819
381 10.292115,905.236010,981.997817,1385.747021 10.292115
382 10.352599,823.848123,1046.987617,1349.865869 10.352599
383 10.258946,847.703615,1095.068892,1381.823598 10.258946
384 10.446881,859.191026,942.316730,1348.600768 10.446881
385 10.499127,847.712524,939.365581,1332.095849 10.499127
386 10.525040,849.046691,939.001463,1335.083496 10.525040
387 10.504504,866.406943,922.920801,1325.653238 10.504504
388 10.518483,857.778987,927.273995,1349.294955 10.518483
389 10.610532,822.478857,892.259992,1307.075474 10.610532
390 10.563151,786.932901,894.828789,1328.799708 10.563151
391 10.502028,843.326228,906.044624,1333.111854 10.502028
392 10.150726,876.988519,1152.332845,1425.306636 10.150726
393 10.394052,829.719561,1070.491210,1367.368067 10.394052
394 10.371432,840.566776,1067.665295,1351.708977 10.371432
395 10.104212,871.729050,1134.656232,1415.695909 10.104212
396 9.434594,1163.867830,1219.090341,1569.933617 9.434594
397 9.647062,1041.962747,1262.242907,1533.958867 9.647062
398 10.465315,857.015720,942.929787,1358.116168 10.465315
399 10.371160,899.868739,950.382099,1388.155990 10.371160
400 9.380802,1161.819368,1276.396612,1584.754338 9.380802
401 9.479509,1148.160461,1240.017011,1573.870030 9.479509
402 9.375032,1184.573368,1290.622520,1599.800479 9.375032
403 9.679949,1076.831163,1229.700627,1537.198258 9.679949
404 9.629514,1039.602411,1244.291385,1499.444727 9.629514
405 9.771684,1024.200268,1186.058263,1454.227490 9.771684
406 9.707736,1026.204058,1180.746457,1486.423176 9.707736
407 9.670039,1022.353188,1191.427462,1494.113703 9.670039
408 10.509460,792.984222,902.859174,1321.760464 10.509460
409 10.459486,818.324433,903.616882,1359.145127 10.459486
410 9.979957,979.082069,1144.300498,1465.759162 9.979957
411 9.932768,991.685888,1088.782099,1473.289862 9.932768
412 10.540847,811.436748,906.553369,1325.652459 10.540847
413 10.380010,887.540034,919.323384,1376.668226 10.380010
414 10.326320,908.006651,899.373666,1392.899107 10.326320
415 10.227820,875.452744,965.448852,1407.766207 10.227820
416 10.183268,965.742599,979.901385,1420.948781 10.183268
417 10.357706,952.678537,977.817358,1394.525986 10.357706
418 9.405641,1197.625854,1340.266273,1640.316093 9.405641
419 9.521306,1143.717598,1225.032664,1592.391122 9.521306
420 9.943664,967.090291,1175.020662,1449.866171 9.943664
421 10.069854,911.356711,1179.500135,1420.428885 10.069854
422 9.744888,1017.973790,1253.810663,1508.604377 9.744888
423 9.868660,956.303586,1138.323848,1471.755812 9.868660
424 9.983751,963.684130,1168.901468,1456.793778 9.983751
425 9.857222,966.629436,1231.105721,1487.160308 9.857222
426 9.732336,1029.251330,1266.691264,1525.889014 9.732336
427 9.774335,1016.657796,1238.746954,1513.080203 9.774335
428 9.220520,1220.348281,1286.894451,1649.594917 9.220520
429 9.267505,1193.422538,1298.507489,1633.153408 9.267505
430 9.218288,1247.006547,1330.387658,1663.056034 9.218288
431 9.233943,1202.449444,1312.953459,1631.196007 9.233943
